#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	metaphlan_BIOME168077_S1	metaphlan_BIOME168081_S2	metaphlan_BIOME168093_S3	metaphlan_BIOME168302_S4	metaphlan_BIOME168314_S6	metaphlan_BIOME168318_S5	metaphlan_BIOME168326_S7	metaphlan_BIOME168631_S37	metaphlan_BIOME168635_S8	metaphlan_BIOME168639_S9	metaphlan_BIOME168643_S10	metaphlan_BIOME168647_S11	metaphlan_BIOME168651_S12	metaphlan_BIOME168655_S13	metaphlan_BIOME168667_S14	metaphlan_BIOME168671_S15	metaphlan_BIOME169177_S17	metaphlan_BIOME169181_S16	metaphlan_BIOME169201_S19	metaphlan_BIOME169205_S18	metaphlan_BIOME169225_S20	metaphlan_BIOME169229_S21	metaphlan_BIOME169624_S22	metaphlan_BIOME169628_S23	metaphlan_BIOME169715_S24	metaphlan_BIOME169719_S25	metaphlan_BIOME169727_S26	metaphlan_BIOME169731_S27	metaphlan_BIOME169735_S28	metaphlan_BIOME169739_S29	metaphlan_BIOME169763_S30	metaphlan_BIOME169767_S31	metaphlan_BIOME169832_S32	metaphlan_BIOME169848_S33	metaphlan_BIOME171068_S34	metaphlan_BIOME171072_S35	metaphlan_BIOME171096_S36	metaphlan_BIOME172176_S38	metaphlan_BIOME172196_S39	metaphlan_BIOME172200_S40	metaphlan_BIOME172204_S41	metaphlan_BIOME172208_S42	metaphlan_BIOME172212_S43	metaphlan_BIOME172216_S44	metaphlan_BIOME181988_S57	metaphlan_BIOME181992_S58	metaphlan_BIOME182044_S45	metaphlan_BIOME182048_S46	metaphlan_BIOME182052_S47	metaphlan_BIOME182060_S48	metaphlan_BIOME182064_S49	metaphlan_BIOME182068_S50	metaphlan_BIOME182072_S51	metaphlan_BIOME182743_S52	metaphlan_BIOME182751_S53	metaphlan_BIOME182755_S66	metaphlan_BIOME182759_S65	metaphlan_BIOME182763_S67	metaphlan_BIOME182767_S74	metaphlan_BIOME182783_S61	metaphlan_BIOME182787_S54	metaphlan_BIOME182791_S56	metaphlan_BIOME182795_S55	metaphlan_BIOME186176_S60	metaphlan_BIOME186180_S59	metaphlan_BIOME186184_S62	metaphlan_BIOME186317_S63	metaphlan_BIOME186321_S64	metaphlan_BIOME186337_S70	metaphlan_BIOME186341_S73	metaphlan_BIOME186345_S68	metaphlan_BIOME186349_S69	metaphlan_BIOME186357_S71	metaphlan_BIOME186361_S72	metaphlan_BIOME186365_S75	metaphlan_BIOME186381_S76	metaphlan_BIOME186385_S77
k__Bacteria	98.60171	99.41191	100.0	100.0	99.21941	100.0	100.0	100.0	98.03551	99.97958	98.49929	100.0	100.0	100.0	91.93485	99.50725	95.74477	100.0	100.0	97.95674	92.3911	100.0	99.89826	99.98049	100.0	100.0	97.92479	97.8574	100.0	98.19677	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.47054	100.0	99.23331	100.0	97.28555	94.17928	97.23351	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.36306	100.0	100.0	98.60605	99.91304	87.80962	98.74933	95.07967	98.47588	96.64981	99.85441	98.46567	100.0	100.0	95.38553	97.52689	93.0816	94.71859	0.0	92.20499	100.0	99.79906	100.0	99.17529	100.0
k__Archaea	1.39829	0.58809	0.0	0.0	0.78059	0.0	0.0	0.0	1.96449	0.02042	1.50071	0.0	0.0	0.0	8.06515	0.49275	4.25523	0.0	0.0	2.04326	7.6089	0.0	0.10174	0.01951	0.0	0.0	2.07521	2.1426	0.0	1.80323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52946	0.0	0.76669	0.0	2.71445	5.82072	2.76649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63694	0.0	0.0	1.39395	0.08696	12.19038	1.25067	4.92033	1.52412	3.35019	0.14559	1.53433	0.0	0.0	4.45408	2.47311	6.9184	5.28141	0.0	7.79501	0.0	0.20094	0.0	0.82471	0.0
k__Bacteria|p__Firmicutes	62.59155	69.81438	59.02663	55.08936	64.51606	86.09994	83.80467	81.21515	76.13641	71.36282	56.92807	40.29172	92.57625	79.47293	69.93956	77.78293	50.34913	75.71483	87.46278	87.07948	71.97391	73.48559	50.45341	70.67285	54.71539	66.25106	85.81504	82.55205	84.88476	65.74694	71.6351	58.94052	37.50667	68.1453	75.43673	84.44676	68.09892	82.36038	86.41379	84.84934	90.76431	82.68453	84.40991	78.53676	84.83344	75.33915	72.41056	74.6304	75.93079	89.63165	66.78597	69.17122	95.4754	35.57538	37.19797	80.41829	59.0237	57.03959	75.58582	77.20518	65.803	72.31991	81.59548	81.3686	85.21306	48.63992	71.14528	82.62929	81.89567	65.44248	0.0	75.54716	58.08734	46.6159	82.56286	74.57247	45.81902
k__Bacteria|p__Bacteroidota	25.75882	20.29384	27.99911	38.61308	27.82049	5.21571	3.83745	0.60211	13.27651	18.23168	36.00167	49.41337	3.30616	5.15919	12.24825	17.82048	28.92951	13.02324	7.05108	3.3267	9.13474	17.56517	43.63069	15.95459	20.78935	13.64362	8.96881	10.84747	5.57271	8.37252	21.33579	29.1524	16.32711	18.33333	18.95769	6.08936	18.62328	15.22222	5.03266	9.8267	4.66236	12.96277	0.70368	3.18288	6.26501	22.60275	6.33219	10.2782	15.11871	8.98401	5.60035	6.95727	1.04274	3.33342	53.60758	14.29894	33.79314	0.55949	16.2723	3.76454	24.01781	10.74117	12.14691	14.45539	2.6166	24.98948	12.91171	9.50616	6.55215	15.11596	0.0	8.24754	19.11518	45.38412	3.52352	11.0337	19.37701
k__Bacteria|p__Proteobacteria	4.08794	0.18768	1.56003	0.24394	0.55167	0.365	0.31477	0.77128	0.54796	1.77569	0.71377	1.51494	0.03566	0.57006	4.39142	0.3135	2.02198	0.11717	0.35036	0.33604	2.46744	5.13	2.45069	3.72052	4.44252	1.80441	0.29776	0.30912	0.03624	0.85234	1.56483	0.31019	3.35847	0.87696	0.60279	0.21	0.66927	0.15963	0.30686	0.0	0.25233	0.89752	0.0	0.95613	0.32265	0.67066	0.79504	0.07581	0.1357	0.18235	0.33648	20.03961	0.64659	0.32352	2.01922	0.54143	2.53299	2.2061	0.60647	0.68599	0.07881	4.59534	0.05567	0.06358	0.024	1.1758	4.36566	0.29925	0.3616	0.19132	0.0	0.92121	0.88731	1.62935	1.79438	1.04978	0.29261
k__Bacteria|p__Actinobacteria	3.77923	8.81861	11.37965	4.44722	6.29802	7.29805	10.06525	17.41145	4.93515	8.46914	4.80889	8.77135	3.4916	14.60432	5.24554	3.29338	1.82281	3.00665	5.13577	7.07604	6.44385	3.81503	1.31048	9.6179	3.72594	16.4324	2.80056	3.7286	9.38309	21.08886	4.63889	10.53616	42.80774	2.61976	3.70099	9.25388	12.60853	2.20593	2.04629	5.29602	2.66077	3.38026	11.39471	9.49356	5.07034	1.38125	17.32107	15.01559	8.79195	1.20199	16.42405	3.8319	1.14608	55.61916	0.27388	3.09684	4.56321	7.8927	5.33397	11.7216	6.27293	2.50078	0.97697	1.82056	11.83764	13.27143	5.93375	3.51331	1.43197	2.33312	0.0	2.64979	21.72994	1.76977	8.2661	9.65861	34.19775
k__Archaea|p__Euryarchaeota	1.39829	0.58809	0.0	0.0	0.78059	0.0	0.0	0.0	1.96449	0.02042	1.50071	0.0	0.0	0.0	8.06515	0.49275	4.25523	0.0	0.0	2.04326	7.6089	0.0	0.10174	0.01951	0.0	0.0	2.07521	2.1426	0.0	1.80323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52946	0.0	0.76669	0.0	2.71445	5.82072	2.76649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63694	0.0	0.0	1.39395	0.08696	12.19038	1.25067	4.92033	1.52412	3.35019	0.14559	1.53433	0.0	0.0	4.45408	2.47311	6.87768	5.28141	0.0	7.79501	0.0	0.20094	0.0	0.82471	0.0
k__Bacteria|p__Verrucomicrobia	1.08624	0.00932	0.01731	1.6064	0.0	1.02131	1.89038	0.0	1.60926	0.0	0.0	0.0	0.59032	0.0	0.07964	0.29532	4.83233	7.98651	0.0	0.1266	1.96514	0.0	0.0	0.01464	16.32263	1.8685	0.00569	0.42017	0.12321	1.9586	0.11286	1.03544	0.0	9.99041	1.25265	0.0	0.0	0.05184	3.56952	0.0	0.89355	0.0	0.77725	1.99455	0.74183	0.0	3.1053	0.0	0.0	0.0	10.85315	0.0	0.02709	5.14852	6.90135	0.24913	0.0	19.8161	0.60115	1.44701	1.68663	6.20549	5.07217	0.75706	0.24182	11.92337	0.05404	1.55165	1.41829	11.61201	0.0	3.4093	0.17067	4.3441	3.85313	2.84624	0.2009
k__Bacteria|p__Synergistetes	0.87738	0.01481	0.0	0.0	0.0	0.0	0.02088	0.0	1.23182	0.0	0.04688	0.0	0.0	0.0	0.0	0.00164	6.88922	0.0	0.0	0.01187	0.37147	0.0	0.00086	0.0	0.0	0.0	0.0	0.0	0.0	0.16637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01419	0.0	0.0	0.0	0.0	0.01452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141	0.0	0.25021	0.16541	0.25537	0.09838	0.1705	0.0	0.0	0.0	0.0	0.71644	0.0	1.33693	0.0	0.0	1.28407	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.2311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01174	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.12503	0.17021	0.0	0.0	0.0	0.0	0.0612	0.0	0.29781	0.11141	0.0	0.0	0.0	0.0	0.0	0.0	0.89026	0.1516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07177	0.0	0.00087	0.0	0.0062	0.01121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04544	0.17279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01086	0.01693	0.00041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Tenericutes	0.04575	0.0	0.0	0.0	0.0	0.0	0.0054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00953	0.0	0.0	0.0	0.0343	0.0	0.0	0.0	0.0	0.0	0.03693	0.0	0.0	0.01113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02464	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51832	0.11662	0.0	0.0	0.0	0.0	0.24404	0.00996	0.07661	0.0	0.0	0.12799	0.0	0.05582	0.0	0.0	0.0
